example,ngram,pattern,term
It had to be lucrative for them to do it year after year.,lucrative for them,lucrative for n,lucrative
People today find it ludicrous that the stories of why were not passed down.,find it ludicrous that,v it ludicrous that,ludicrous
It is ludicrous to suggest a sharing of Jerusalem.,it is ludicrous to suggest,it v-link ludicrous to-inf,ludicrous
"I think it should be reviewed, it is ludicrous that it has not been before now.",it is ludicrous that,it v-link ludicrous that,ludicrous
You have to lug it around the mall.,lug it around,lug n adv/prep,lug
You have to lug it around the mall.,lug it around,lug n prep/adv,lug
He said that Carey was lukewarm towards it.,lukewarm towards it,lukewarm towards/toward n,lukewarm
They kind of feel lukewarm about it.,lukewarm about it,lukewarm about n,lukewarm
"The comedian claims he pitched the ""Bee Movie"" idea during an awkward lull in the conversation.",lull in the conversation,lull in n,lull
"Tey lull you into a sense of security, tranquility.",lull you into a sense,lull n into n,lull
"After 1567, trade transactions experienced a lull between the two countries.",lull between the two,lull between pl-n,lull
Plastic bins are one alternative to pressure-treated lumber for compost.,lumber for,lumber adv/prep,lumber
Plastic bins are one alternative to pressure-treated lumber for compost.,lumber for,lumber prep/adv,lumber
There was a lump of something in the turf.,lump of something,lump of n,lump
We worked until 8pm with a break for lunch at 1pm.,lunch at,lunch adv/prep,lunch
We worked until 8pm with a break for lunch at 1pm.,lunch at,lunch prep/adv,lunch
I tried to name my sorrow as I walked to lunch.,to lunch,to lunch,lunch
Tomorrow on my lunch hour would be the best time.,my lunch hour,"x+'s lunch hour",lunch
I did that vocal on my lunch break from the bar.,my lunch break,"x+'s lunch break",lunch
We were at lunch one day with a group of friends.,at lunch,at lunch,lunch
Plans for the walkout — to start at lunchtime on Sept.,at lunchtime,at lunchtime,lunchtime
He doesn’t lunge at the officers.,lunge at,lunge adv/prep,lunge
He doesn’t lunge at the officers.,lunge at,lunge prep/adv,lunge
We lurch to a stop in a field.,lurch to,lurch prep/adv,lurch
We lurch to a stop in a field.,lurch to,lurch adv/prep,lurch
"From Donald Trump to Israel and Europe, Why This Lurch to the Right?",lurch to the right,lurch to n,lurch
They lure you into the story and make you watch even as things get bleaker.,lure you into,lure n adv/prep,lure
They lure you into the story and make you watch even as things get bleaker.,lure you into,lure n prep/adv,lure
Maybe some blonde will lure us into her Lotus Elan.,lure us into her,lure n into n,lure
And lust for her own flesh.,lust for her,lust for n,lust
"The key phrase in this Scripture that this interpretation hinges on, is “to lust after her”.",lust after her,lust after n,lust
"Venerable One, has the inclination to lust to be suppressed ?",lust to be,lust to-inf,lust
He really loves the lute and wants to go places with it.,the lute,the lute,lute
To-day I luxuriate in one dress; no changing five times a day.,luxuriate in one,luxuriate in n,luxuriate
Some of the Rich Kids have the luxury of a private jet.,luxury of a private,luxury of n,luxury
Thus nursed in lap of luxury — comfort.,in lap of luxury,in lap of luxury,luxury
How did you get your start in luxury real estate?,in luxury,in luxury,luxury
It has required centuries to bring their machinations to maturity.,their machinations,"x+'s machinations",machinations
Just one machine out there now and the snow’s cleaned up.,one machine,n machine,machine
Let your calls go to voicemail or get an answering machine.,answering machine,adj machine,machine
All these proofs have been checked by machine.,by machine,by machine,machine
"Once she made the report, the machinery of the state was set in inexorable motion.",machinery of the state,machinery of n,machinery
Bathrooms are in that sense a microcosm of the macrocosm.,the macrocosm,the macrocosm,macrocosm
I used to get mad about it.,mad about it,mad about n,mad
I used to be mad on it.,mad on it,mad on n,mad
My kids would go mad over it.,mad over it,mad over n,mad
She added: “It is such a huge show and it was mad to be asked to do it.,mad to be,mad to-inf,mad
It gets me mad that my mom works so hard.,mad that,mad that,mad
"My grandma's calling my mom getting mad at me.",mad at me,mad at n,mad
But you are mad with me ?,mad with me,mad with n,mad
Mad for it !,mad for it,mad for n,mad
And I find it maddening that I do miss him.,find it maddening that,v it maddening that,maddening
"If competition does not exist, however, it is madness to think we can do without a substitute.",it is madness to think,it v-link madness to-inf,madness
"At some point, the company got mixed up with the mafia.",the mafia,the mafia,mafia
Through the magic of his process he came up with the theme of haunting stories.,magic of his,magic of n,magic
I loved it and became fascinated by magic myself.,by magic,by magic,magic
Can he work his magic with these MCs?,his magic,"x+'s magic",magic
The characters undergo the magic they do not create it.,the magic they,det magic n,magic
Daughter of a shipping magnate.,a shipping magnate,n magnate,magnate
Become a powerful magnet for the creation of personal wealth.,magnet for the creation,magnet for n,magnet
Does a ship lose much of her magnetism after launching ?,her magnetism,"x+'s magnetism",magnetism
Magnetize yourself to your goal.,magnetize yourself to,magnetize n adv/prep,magnetize
Magnetize yourself to your goal.,magnetize yourself to,magnetize n prep/adv,magnetize
You are great in splendor and magnificent to be praised and glorified.,magnificent to be,magnificent to-inf,magnificent
The sheer magnitude of the problem is staggering.,magnitude of the problem,magnitude of n,magnitude
It’s a charity extravaganza unparalleled in magnitude on the West Coast.,in magnitude,in magnitude,magnitude
Identify the fault and estimate its magnitude.,its magnitude,"x+'s magnitude",magnitude
Her maid has left Singapore.,her maid,"x+'s maid",maid
Call or e-mail me with any questions or comments.,mail me with any questions,mail n with n,mail
Some of the shows will mail you a coupon for free admission.,mail you a coupon,mail n n,mail
Mail this page to your congressman today.,mail this page to,mail n prep/adv,mail
Mail this page to your congressman today.,mail this page to,mail n adv/prep,mail
"The user wants to write a letter, print it out, and mail it to a friend.",mail it to a friend,mail n to n,mail
"It's not just NYC drivers who fail to pay by mail.",by mail,by mail,mail
Their rate of profit IS five times the mainland average.,the mainland,the mainland,mainland
These efforts should be viewed not as an attempt to isolate China but as a helping hand to bring her into the mainstream of the world community.,mainstream of the world,mainstream of n,mainstream
It is critical that we maintain that funding to urban areas.,maintain that,maintain that,maintain
"Buy a house, and learn how maintain it.",maintain it,maintain n,maintain
We would like to maintain it at that level.,maintain it at that level,maintain n at n,maintain
The group structure allowed also an easier maintenance of the system.,maintenance of the system,maintenance of n,maintenance
Dental school applicants are not required to major in one of the sciences.,major in one,major in n,major
Part 1 profiles the firm and its major export markets.,its major,"x+'s major",major
That looming renovation was one major hurdle to the sale.,one major,n major,major
The vast majority of them live unsheltered on the streets.,majority of them,majority of n,majority
